iter	Passed	Remaining
492	738	759
493	741	760
494	743	758
495	744	756
496	747	756
497	751	757
498	752	755
499	753	753
500	754	751
501	754	748
502	756	747
503	756	744
504	757	742
505	759	741
506	759	738
507	761	737
508	762	735
509	763	733
510	764	731
511	765	729
512	766	727
513	767	725
514	768	723
515	769	721
516	770	719
517	771	717
518	771	715
519	772	713
520	773	711
521	774	709
522	775	706
523	776	705
524	779	705
525	783	705
526	785	705
527	788	704
528	790	703
529	792	702
530	794	702
531	797	701
532	799	700
533	801	699
534	803	698
535	806	697
536	807	696
537	809	695
538	811	693
539	812	692
540	813	690
541	817	690
542	819	689
543	820	687
544	820	685
545	821	683
546	822	680
547	823	678
548	823	676
549	824	674
550	825	672
551	826	670
552	826	668
553	827	666
554	828	664
555	828	661
556	829	659
557	830	657
558	831	655
559	831	653
560	833	651
561	834	650
562	835	648
563	835	646
564	836	644
565	837	642
566	838	640
567	839	638
568	840	636
569	841	634
570	842	632
571	842	630
572	843	628
573	844	626
574	845	624
575	846	623
576	847	621
577	848	619
578	849	617
579	850	615
580	850	613
581	851	611
582	852	610
583	853	608
584	854	606
585	855	604
586	856	602
587	856	600
588	857	598
589	858	596
590	859	594
591	860	592
592	861	591
593	862	589
594	863	587
595	863	585
596	864	583
597	865	581
598	866	579
599	867	578
600	868	576
601	869	574
602	869	572
603	870	570
604	872	569
605	873	567
606	874	566
607	875	564
608	876	563
609	877	561
610	878	559
611	879	557
612	880	555
613	881	554
614	882	552
615	883	550
616	884	548
617	885	547
618	886	545
619	887	543
620	887	541
621	890	540
622	891	539
623	892	537
624	892	535
625	893	533
626	894	532
627	895	530
628	896	528
629	897	527
630	898	525
631	898	523
632	899	521
633	900	519
634	901	517
635	901	516
636	902	514
637	905	513
638	906	512
639	907	510
640	908	508
641	909	507
642	910	505
643	911	503
644	912	502
645	913	500
646	914	498
647	915	497
648	916	495
649	917	493
650	918	492
651	919	491
652	920	489
653	921	487
654	922	486
655	923	484
656	924	482
657	925	480
658	926	479
659	927	477
660	928	475
661	928	474
662	929	472
663	930	470
664	931	469
665	932	467
666	933	466
667	934	464
668	935	463
669	936	461
670	937	459
671	938	458
672	939	456
673	940	455
674	941	453
675	942	451
676	943	450
677	944	448
678	945	446
679	946	445
680	947	443
681	948	442
682	949	440
683	950	439
684	951	437
685	952	435
686	953	434
687	953	432
688	955	431
689	955	429
690	956	427
691	957	426
692	958	424
693	959	423
694	960	421
695	961	420
696	962	418
697	963	417
698	964	415
699	965	413
700	966	412
701	967	410
702	967	408
703	968	407
704	969	405
705	970	404
706	971	402
707	972	400
708	973	399
709	973	397
710	974	396
711	975	394
712	976	393
713	977	391
714	978	390
715	979	388
716	980	386
717	981	385
718	982	383
719	982	382
720	983	380
721	984	379
722	985	377
723	986	375
724	986	374
725	987	372
726	988	371
727	989	369
728	990	368
729	991	366
730	993	365
731	994	363
732	994	362
733	995	360
734	996	359
735	997	357
736	998	356
737	999	354
738	1000	353
739	1001	351
740	1002	350
741	1002	348
742	1003	347
743	1004	345
744	1005	344
745	1006	342
746	1007	341
747	1008	339
748	1008	338
749	1009	336
750	1010	335
751	1011	333
752	1012	332
753	1012	330
754	1013	328
755	1014	327
756	1015	325
757	1016	324
758	1017	322
759	1017	321
760	1018	319
761	1019	318
762	1021	317
763	1022	315
764	1023	314
765	1024	313
766	1025	311
767	1026	310
768	1027	308
769	1029	307
770	1030	305
771	1030	304
772	1031	302
773	1032	301
774	1033	300
775	1034	298
776	1035	297
777	1039	296
778	1040	295
779	1041	293
780	1042	292
781	1042	290
782	1043	289
783	1044	287
784	1045	286
785	1046	284
786	1047	283
787	1047	281
788	1049	280
789	1050	279
790	1051	277
791	1052	276
792	1053	274
793	1053	273
794	1054	271
795	1055	270
796	1056	269
797	1057	267
798	1058	266
799	1059	264
800	1059	263
801	1060	261
802	1061	260
803	1062	259
804	1063	257
805	1064	256
806	1065	254
807	1066	253
808	1067	251
809	1068	250
810	1068	249
811	1069	247
812	1070	246
813	1070	244
814	1071	243
815	1072	241
816	1073	240
817	1074	239
818	1075	237
819	1076	236
820	1077	234
821	1078	233
822	1079	232
823	1080	230
824	1081	229
825	1082	228
826	1083	226
827	1084	225
828	1085	223
829	1085	222
830	1086	220
831	1087	219
832	1088	218
833	1089	216
834	1090	215
835	1091	214
836	1091	212
837	1093	211
838	1094	209
839	1094	208
840	1096	207
841	1096	205
842	1097	204
843	1098	203
844	1099	201
845	1100	200
846	1100	198
847	1101	197
